method,lr,step,x,y,loss
Adam_Sequential,0.001,100,-1.30122,-0.157468,212009
Adam_Parallel,0.001,10,-4.07954,2.59045,224938
Adam_Parallel,0.001,20,-4.06956,2.59812,222624
Adam_Parallel,0.001,30,-4.0596,2.60101,220336
Adam_Parallel,0.001,40,-4.04968,2.59853,218075
Adam_Parallel,0.001,50,-4.0398,2.59307,215841
Adam_Parallel,0.001,60,-4.02995,2.58713,213634
Adam_Parallel,0.001,70,-4.02013,2.58201,211455
Adam_Parallel,0.001,80,-4.01036,2.57779,209302
Adam_Parallel,0.001,90,-4.00062,2.57399,207175
Adam_Parallel,0.001,100,-3.99092,2.57017,205075
